Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,49.849,1903167,,,,96,3,0,35690287.11,3.126121292,0.5159935,0.696294846,6.666666667,7.5,14.16666667,60246000
1/5/2015,47.311,2586813,,,,258,6,-6,35759009.22,3.058599876,0.573179,0.876322631,10,9,19,60246000
1/6/2015,46.501,2283525,,,,749,44,-15,35827731.33,2.991078461,0.586475,1.109120645,13.33333333,4.5,17.83333333,60246000
1/7/2015,46.743,1404641,,,,384,18,-8,35896453.44,2.923557045,0.578882,0.76513147,15,4.5,19.5,60246000
1/8/2015,47.779,1374635,,,,512,19,-15,35965175.56,2.85603563,0.5619095,0.957825815,11.66666667,10.5,22.16666667,60246000
1/9/2015,47.041,1367762,,,,310,11,-1,36033897.67,2.788514214,0.5573025,0.981601193,10,7.5,17.5,60246000
1/12/2015,45.547,1848660,,,,836,21,-7,36102619.78,2.720992799,0.5866425,0.974940866,10,7.5,17.5,60246000
1/13/2015,46.256,2675082,,,,519,9,-8,36171341.89,2.653471383,0.561513,0.912526183,8.333333333,7.5,15.83333333,60246000
1/14/2015,46.32,2839727,,,,602,28,-6,36240064,2.585949968,0.560956,0.908259018,11.66666667,13.5,25.16666667,60246000
1/15/2015,46.251,1667724,,,,407,23,-5,36240064,2.585949968,0.5596745,1.052047059,8.333333333,10.5,18.83333333,60246000
1/16/2015,48.191,2812850,,,,237,17,-5,36918072.33,2.463113689,0.548545,0.705161874,16.66666667,9,25.66666667,60246000
1/20/2015,49.829,5474710,,,,431,26,-8,37596080.67,2.34027741,0.5964385,1.113766156,56.66666667,21,77.66666667,60246000
1/21/2015,58.469,9551075,,,,1532,172,-21,38274089,2.21744113,0.3309185,1.019385035,80,57,137,60246000
1/22/2015,61.206,4753759,,,,976,109,-14,38952097.33,2.094604851,0.3193685,0.95081831,43.33333333,33,76.33333333,60416000
1/23/2015,62.494,3823347,,,,452,24,-7,39630105.67,1.971768572,0.305274,0.958117183,30,36,66,60416000
1/26/2015,63.794,3035802,,,,487,7,-4,40308114,1.848932293,0.323861,0.825563459,25,16.5,41.5,60416000
1/27/2015,64.881,3512238,,,,351,17,-9,40986122.33,1.726096013,0.339433,0.996518712,18.33333333,15,33.33333333,60416000
1/28/2015,63.209,3497924,,,,303,13,-5,41664130.67,1.603259734,0.3391825,0.838039106,16.66666667,15,31.66666667,60416000
1/29/2015,63.4,2159472,,,,320,15,-5,42342139,1.480423455,0.3418345,0.945072877,23.33333333,13.5,36.83333333,60498000
1/30/2015,63.114,1886889,851,40,-26,325,13,-1,42342139,1.480423455,0.3350555,0.851264062,13.33333333,16.5,29.83333333,60498000
2/2/2015,63.009,1855229,531,23,-13,249,8,-8,42106662.11,1.676230222,0.3333855,1.111059415,11.66666667,13.5,25.16666667,60498000
2/3/2015,65.274,2345088,1181,118,-55,441,24,-16,41871185.22,1.87203699,0.3303925,0.900429114,13.33333333,12,25.33333333,60498000
2/4/2015,64.101,1774873,1044,87,-158,335,10,-15,41635708.33,2.067843757,0.3286005,0.985598599,13.33333333,15,28.33333333,60498000
2/5/2015,64.13,2030894,1370,41,-296,681,22,-21,41400231.44,2.263650525,0.3259165,0.708961732,15,15,30,60498000
2/6/2015,63.48,1270144,988,48,-54,394,15,-11,41164754.56,2.459457292,0.317772,0.719170741,8.333333333,13.5,21.83333333,60498000
2/9/2015,63.295,1168166,411,12,-4,170,3,0,40929277.67,2.65526406,0.324595,1.055424806,10,10.5,20.5,60498000
2/10/2015,64.85,2201262,3235,32,-36,762,23,-12,40693800.78,2.851070827,0.322598,1.102870813,11.66666667,10.5,22.16666667,60498000
2/11/2015,64.984,1988761,895,53,-20,290,7,-4,40458323.89,3.046877595,0.321864,0.851034719,16.66666667,18,34.66666667,60498000
2/12/2015,65.247,1210205,2289,62,-50,817,22,-83,40222847,3.242684362,0.3201945,1.008143713,15,10.5,25.5,60498000
2/13/2015,66.586,1849644,889,70,-13,308,4,-14,40222847,3.242684362,0.304456,0.992585864,13.33333333,13.5,26.83333333,60498000
2/17/2015,67.137,1594146,504,30,-2,212,6,-4,39583635.88,3.298300579,0.3057755,1.084223469,13.33333333,10.5,23.83333333,60498000
2/18/2015,67.866,1472779,504,42,-11,213,6,-3,38944424.75,3.353916796,0.298374,1.313716457,13.33333333,18,31.33333333,60498000
2/19/2015,67.8,1490731,687,47,-17,222,8,-1,38305213.63,3.409533013,0.2847485,0.965706068,13.33333333,7.5,20.83333333,60498000
2/20/2015,68.314,1343745,599,36,-14,273,7,-3,37666002.5,3.46514923,0.2773825,0.782346603,15,9,24,60498000
2/23/2015,67.406,1286856,227,15,0,168,4,-3,37026791.38,3.520765447,0.278371,1.13745563,8.333333333,12,20.33333333,60498000
2/24/2015,67.84,867348,729,30,-19,288,9,-7,36387580.25,3.576381664,0.2697975,0.922996811,13.33333333,10.5,23.83333333,60498000
2/25/2015,68.333,979424,1488,48,-13,449,17,-6,35748369.13,3.631997881,0.265573,1.226791809,13.33333333,10.5,23.83333333,60498000
2/26/2015,69.004,1548989,1228,33,-15,520,13,-4,35109158,3.687614098,0.2710145,0.928587823,10,10.5,20.5,60498000
2/27/2015,67.844,1641203,8768,59,-24,1062,53,-20,35109158,3.687614098,0.2736925,0.984795208,10,16.5,26.5,60498000
3/2/2015,68.607,1454424,482,12,-11,240,12,-2,35375271.56,3.58134677,0.2737375,0.870395691,3.333333333,9,12.33333333,60498000
3/3/2015,67.816,1060390,873,36,-18,524,20,-10,35641385.11,3.475079441,0.2751,0.928674776,8.333333333,16.5,24.83333333,60498000
3/4/2015,67.11,2493011,785,23,-9,421,22,-9,35907498.67,3.368812113,0.2850355,1.176576456,5,9,14,60498000
3/5/2015,66.807,1606609,1458,45,-57,583,24,-12,36173612.22,3.262544784,0.2846425,0.78531576,5,9,14,60498000
3/6/2015,64.874,1839341,973,13,-18,402,11,-8,36439725.78,3.156277456,0.304609,1.048238846,6.666666667,13.5,20.16666667,60498000
3/9/2015,63.661,2708715,302,13,-13,173,5,-12,36705839.33,3.050010127,0.3493285,1.264347131,10,12,22,60498000
3/10/2015,62.151,2561567,1346,56,-101,471,22,-9,36971952.89,2.943742799,0.383344,0.900308199,10,6,16,60498000
3/11/2015,62.884,2335766,939,21,-41,474,15,-13,37238066.44,2.83747547,0.395178,1.088094729,5,9,14,60498000
3/12/2015,64.046,2093278,645,45,-43,338,21,-6,37504180,2.731208142,0.388957,1.083525134,10,13.5,23.5,60498000
3/13/2015,62.629,1450657,503,42,-12,320,16,-8,37504180,2.731208142,0.4056195,1.128787879,11.66666667,10.5,22.16666667,60498000
3/16/2015,60.281,3827321,355,26,-79,218,6,-9,37256851.55,2.682035638,0.455237,1.261935967,15,13.5,28.5,60498000
3/17/2015,59.789,2631355,1225,133,-190,436,17,-29,37009523.09,2.632863135,0.4594955,0.994191604,8.333333333,7.5,15.83333333,60498000
3/18/2015,60.446,2089254,789,52,-46,348,11,-7,36762194.64,2.583690631,0.4646755,0.766953848,10,7.5,17.5,60498000
3/19/2015,60.744,1633149,725,42,-33,391,11,-16,36514866.18,2.534518127,0.4609885,0.917416386,8.333333333,6,14.33333333,60498000
3/20/2015,61.185,1946281,849,38,-27,378,13,-6,36267537.73,2.485345623,0.4594485,0.972869083,10,12,22,60498000
3/23/2015,60.714,1094098,331,16,-14,227,4,-4,36020209.27,2.43617312,0.471351,0.901956415,8.333333333,4.5,12.83333333,60498000
3/24/2015,62.611,2409963,726,75,-25,439,27,-4,35772880.82,2.387000616,0.4775185,0.799905179,6.666666667,10.5,17.16666667,60498000
3/25/2015,60.25,3089495,1862,143,-40,451,23,0,35525552.36,2.337828112,0.511127,0.657055009,13.33333333,6,19.33333333,60498000
3/26/2015,59.751,2286496,1206,57,-48,383,14,-10,35278223.91,2.288655608,0.510392,0.942874765,18.33333333,13.5,31.83333333,60498000
3/27/2015,59.253,2260710,717,53,-34,298,10,-6,35030895.45,2.239483105,0.5121885,0.999486352,8.333333333,12,20.33333333,60498000
3/30/2015,60.367,1894507,228,28,-9,203,13,-2,34783567,2.190310601,0.486677,0.798033112,6.666666667,10.5,17.16666667,60498000
3/31/2015,59.527,2034730,663,30,-20,289,10,-4,34783567,2.190310601,0.4862145,1.029617608,6.666666667,6,12.66666667,60498000
4/1/2015,59.017,2090537,853,27,-18,354,10,-9,35048254.89,2.135511642,0.4874415,0.623683818,11.66666667,7.5,19.16666667,60498000
4/2/2015,59.154,1405874,775,35,-23,277,6,-3,35312942.78,2.080712683,0.48406,0.800781411,6.666666667,10.5,17.16666667,60498000
4/6/2015,60.33,1529898,220,43,-4,118,5,0,35577630.67,2.025913724,0.475578,0.623251374,13.33333333,10.5,23.83333333,60498000
4/7/2015,60.494,1425328,1150,71,-31,376,7,-3,35842318.56,1.971114765,0.484659,1.038666882,8.333333333,3,11.33333333,60498000
4/8/2015,63.05,3186778,1294,38,-20,552,31,-13,36107006.44,1.916315805,0.4746445,1.022561636,10,7.5,17.5,60498000
4/9/2015,62.786,1922016,1820,106,-22,567,30,-1,36371694.33,1.861516846,0.4670635,0.839193624,11.66666667,9,20.66666667,60498000
4/10/2015,64.939,3187435,1392,143,-36,780,53,-22,36636382.22,1.806717887,0.497855,0.82704763,15,18,33,60498000
4/13/2015,67.811,6323663,572,84,-15,339,28,-4,36901070.11,1.751918928,0.495376,0.729197138,25,18,43,60498000
4/14/2015,68.387,4080800,2310,465,-63,623,66,-13,37165758,1.697119969,0.518451,0.922081732,26.66666667,22.5,49.16666667,60498000
4/15/2015,67.923,5845441,1466,150,-50,569,58,-8,37165758,1.697119969,0.5307655,0.811503645,68.33333333,28.5,96.83333333,60498000
4/16/2015,80.293,14900220,7591,3410,-436,1660,228,-30,37727078.9,1.689953108,0.3440775,0.818929577,98.33333333,102,200.3333333,60498000
4/17/2015,81.65,8317121,5313,1288,-341,1116,153,-13,38288399.8,1.682786247,0.331355,0.724766716,83.33333333,66,149.3333333,60621000
4/20/2015,81.056,4390224,854,55,-20,271,19,-2,38849720.7,1.675619387,0.309535,0.867546676,35,27,62,60621000
4/21/2015,80.063,2271006,2005,135,-81,512,36,-11,39411041.6,1.668452526,0.2942345,0.86006386,21.66666667,27,48.66666667,60621000
4/22/2015,79.669,1725643,2203,60,-62,593,27,-6,39972362.5,1.661285665,0.272962,0.783488379,20,28.5,48.5,60621000
4/23/2015,79.866,1810069,1113,78,-35,392,22,-8,40533683.4,1.654118804,0.2695,0.759935066,21.66666667,22.5,44.16666667,60621000
4/24/2015,79.771,1576497,1025,63,-33,574,31,-6,41095004.3,1.646951943,0.264129,0.905009124,15,18,33,60621000
4/27/2015,80.869,2176926,265,28,-4,208,3,-2,41656325.2,1.639785083,0.266634,0.849309959,20,22.5,42.5,60621000
4/28/2015,80.437,1260421,667,57,-34,384,16,-2,42217646.1,1.632618222,0.2636335,1.013239975,15,16.5,31.5,60623000
4/29/2015,80.407,1362780,735,33,-17,350,16,-4,42778967,1.625451361,0.2582845,0.931493195,10,10.5,20.5,60623000
4/30/2015,79.5,1508187,1114,43,-19,530,32,-7,42778967,1.625451361,0.260979,0.897934602,8.333333333,12,20.33333333,60623000
5/1/2015,79.576,1269243,862,34,-41,299,12,-7,41763219.4,1.670977643,0.251635,0.953569468,13.33333333,15,28.33333333,60623000
5/4/2015,79.271,1136741,179,14,-9,154,6,0,40747471.8,1.716503925,0.2537325,0.836894696,8.333333333,15,23.33333333,60623000
5/5/2015,80.793,3871415,566,118,-19,269,18,-9,39731724.2,1.762030206,0.2566395,0.951597381,18.33333333,15,33.33333333,60623000
5/6/2015,80.077,1642843,1600,224,-56,510,36,-7,38715976.6,1.807556488,0.256531,0.849877451,11.66666667,15,26.66666667,60623000
5/7/2015,80.749,1456929,781,23,-19,354,22,-12,37700229,1.85308277,0.25326,0.917646149,10,12,22,60623000
5/8/2015,82.086,1973974,691,30,-16,438,17,-11,36684481.4,1.898609052,0.2518905,0.834157489,11.66666667,15,26.66666667,60623000
5/11/2015,84.278,3410428,312,43,-9,197,15,-1,35668733.8,1.944135334,0.270831,0.955485853,15,18,33,60623000
5/12/2015,83.377,1699600,630,106,-15,409,28,-8,34652986.2,1.989661615,0.2636385,1.273450924,16.66666667,13.5,30.16666667,60623000
5/13/2015,82.873,1592313,537,17,-8,391,18,-4,33637238.6,2.035187897,0.273266,0.873809353,10,12,22,60623000
5/14/2015,83.836,1268289,497,10,-8,356,35,-14,32621491,2.080714179,0.2643415,0.745139241,11.66666667,10.5,22.16666667,60623000
5/15/2015,87.607,5282756,1106,100,-12,419,15,-1,32621491,2.080714179,0.2754165,0.674475589,40,30,70,60623000
5/18/2015,88.267,2112838,421,39,-15,262,11,0,32005116.5,2.110159761,0.277905,0.878362803,18.33333333,22.5,40.83333333,60623000
5/19/2015,88.069,2601537,1416,152,-51,316,13,-6,31388742,2.139605343,0.2677345,1.008239641,25,19.5,44.5,60623000
5/20/2015,88.79,1821160,1899,526,-131,368,12,-5,30772367.5,2.169050924,0.2693565,0.922639712,20,15,35,60623000
5/21/2015,89.003,1823286,1609,161,-86,364,14,-7,30155993,2.198496506,0.2677085,0.913591863,15,15,30,60623000
5/22/2015,88.839,1066254,1289,154,-90,415,12,-4,29539618.5,2.227942088,0.2529265,0.834555827,13.33333333,15,28.33333333,60623000
5/26/2015,87.993,1377358,734,32,-18,316,8,-6,28923244,2.25738767,0.2633925,1.42107484,8.333333333,16.5,24.83333333,60623000
5/27/2015,89.857,1495134,813,39,-50,459,14,-4,28306869.5,2.286833251,0.2610025,0.962669716,15,13.5,28.5,60623000
5/28/2015,89.507,1116104,1273,121,-35,405,28,-7,27690495,2.316278833,0.2585365,0.954313685,13.33333333,13.5,26.83333333,60623000
5/29/2015,89.151,1815465,1532,65,-69,324,17,-4,27690495,2.316278833,0.2601785,0.894167245,13.33333333,12,25.33333333,60623000
6/1/2015,89.003,1417241,418,15,-21,192,9,0,28148294.3,2.269865552,0.269866,1.017565133,8.333333333,16.5,24.83333333,60623000
6/2/2015,89.13,1075140,1293,53,-36,411,9,-3,28606093.6,2.22345227,0.2749865,0.864965466,10,12,22,60623000
6/3/2015,88.809,890585,1057,110,-38,405,8,-7,29063892.9,2.177038989,0.270778,0.983805668,11.66666667,13.5,25.16666667,60623000
6/4/2015,89.349,1416364,1078,58,-48,467,12,-5,29521692.2,2.130625707,0.284717,0.895047884,13.33333333,15,28.33333333,60623000
6/5/2015,90.46,1658150,1005,62,-42,401,13,-4,29979491.5,2.084212426,0.2837615,0.739839581,11.66666667,13.5,25.16666667,60623000
6/8/2015,89.604,1591766,441,83,-14,309,15,-3,30437290.8,2.037799145,0.3156635,0.954596524,8.333333333,15,23.33333333,60623000
6/9/2015,92.45,3111231,1361,97,-29,646,12,-9,30895090.1,1.991385863,0.322414,0.751540191,25,24,49,60623000
6/10/2015,95.871,8149563,2753,581,-91,808,46,-20,31352889.4,1.944972582,0.3594545,0.849150887,41.66666667,37.5,79.16666667,60623000
6/11/2015,95.094,3799601,3727,566,-236,913,90,-20,31810688.7,1.8985593,0.36732,0.767656832,31.66666667,30,61.66666667,60623000
6/12/2015,94.419,1466822,1838,162,-104,606,25,-9,32268488,1.852146019,0.403128,0.861988699,20,22.5,42.5,60623000
6/15/2015,93.431,2719362,1558,34,-29,379,26,-5,32268488,1.852146019,0.4381325,0.914598708,20,16.5,36.5,60623000
6/16/2015,95.273,2287021,1260,112,-57,554,30,-11,31971085.3,1.782997602,0.4461975,0.629639993,20,19.5,39.5,60623000
6/17/2015,94.271,1412829,1506,166,-52,453,21,-14,31673682.6,1.713849186,0.463246,0.846601874,10,18,28,60623000
6/18/2015,94.743,1279965,1038,40,-36,420,24,-14,31376279.9,1.644700769,0.460761,0.804834925,11.66666667,16.5,28.16666667,60623000
6/19/2015,93.871,2822315,871,111,-45,346,19,-12,31078877.2,1.575552353,0.4710495,0.649687051,11.66666667,16.5,28.16666667,60623000
6/22/2015,96.414,2383004,379,104,-20,156,9,-2,30781474.5,1.506403936,0.4964995,0.793450175,20,21,41,60623000
6/23/2015,97.313,2066523,1361,199,-70,302,16,-2,30484071.8,1.437255519,0.488782,0.98268057,33.33333333,46.5,79.83333333,60623000
6/24/2015,96.944,11010910,3211,358,-90,716,76,-26,30186669.1,1.368107103,0.5028335,0.913307081,83.33333333,106.5,189.8333333,60623000
6/25/2015,94.891,5939433,5964,634,-595,940,42,-22,29889266.4,1.298958686,0.493812,1.098019823,48.33333333,64.5,112.8333333,60623000
6/26/2015,93.089,4321366,2867,251,-379,702,25,-28,29591863.7,1.22981027,0.4875425,0.845394871,30,36,66,60623000
6/29/2015,92.231,3507291,567,47,-53,165,7,-1,29294461,1.160661853,0.4956455,0.830121388,30,30,60,60623000
6/30/2015,93.849,2407931,1180,103,-94,231,12,-5,29294461,1.160661853,0.4840455,0.979426287,25,33,58,60623000
7/1/2015,93.636,2095863,1037,85,-79,270,19,-4,29013028.78,1.18470596,0.4925075,0.992942773,26.66666667,28.5,55.16666667,60623000
7/2/2015,94.044,1578083,1073,58,-75,319,23,-5,28731596.56,1.208750067,0.479051,0.974367752,18.33333333,21,39.33333333,60623000
7/6/2015,94.571,1684635,330,12,-9,123,5,-1,28450164.33,1.232794174,0.4855,1.132140448,16.66666667,22.5,39.16666667,60623000
7/7/2015,94.091,3081084,817,151,-43,255,12,0,28168732.11,1.256838281,0.4924085,0.848375105,23.33333333,19.5,42.83333333,60623000
7/8/2015,93.507,1854329,1291,62,-52,452,11,-15,27887299.89,1.280882388,0.510709,0.883431832,26.66666667,25.5,52.16666667,60623000
7/9/2015,95.727,2383325,1141,342,-65,262,18,-7,27605867.67,1.304926495,0.5053465,0.872555058,13.33333333,18,31.33333333,60623000
7/10/2015,97.229,3085900,1321,174,-49,327,25,-5,27324435.44,1.328970602,0.500892,0.757837838,26.66666667,30,56.66666667,60623000
7/13/2015,101.087,4720919,502,61,-15,212,10,-5,27043003.22,1.353014709,0.4838395,0.950621431,43.33333333,45,88.33333333,60623000
7/14/2015,100.371,2815457,2561,592,-132,513,45,-7,26761571,1.377058816,0.479947,1.260839474,46.66666667,43.5,90.16666667,60623000
7/15/2015,98.13,30004360,1685,172,-121,528,56,-7,26761571,1.377058816,0.524252,0.993914463,136.6666667,108,244.6666667,424361000
7/16/2015,115.81,63003600,8588,2700,-529,1659,187,-35,26911241,1.397937735,0.3187865,0.856932462,166.6666667,150,316.6666667,424361000
7/17/2015,114.77,25093820,6832,1655,-305,1696,125,-12,27060911,1.418816653,0.313305,0.742140952,103.3333333,108,211.3333333,424361000
7/20/2015,110.55,22649490,598,114,-16,244,12,-2,27210581,1.439695572,0.3161685,1.047223725,51.66666667,45,96.66666667,424361000
7/21/2015,112.51,14022880,1510,168,-127,380,23,-7,27360251,1.460574491,0.31545,0.878049841,48.33333333,51,99.33333333,424361000
7/22/2015,111.5,10396820,1075,115,-87,335,5,-1,27509921,1.48145341,0.304319,0.86859002,35,43.5,78.5,424361000
7/23/2015,110.1,8281009,952,72,-55,284,6,-9,27659591,1.502332328,0.308029,0.926581018,36.66666667,25.5,62.16666667,424361000
7/24/2015,109.34,8109471,1439,77,-75,495,32,-4,27809261,1.523211247,0.317201,1.154554214,35,36,71,424361000
7/27/2015,106.43,11284860,823,33,-14,191,1,-3,27958931,1.544090166,0.338161,0.828738984,25,31.5,56.5,424361000
7/28/2015,106.9,11151030,1280,58,-60,293,12,-4,28108601,1.564969085,0.3297535,0.848489026,23.33333333,33,56.33333333,424361000
7/29/2015,107.08,6679819,1352,54,-34,672,38,-10,28258271,1.585848003,0.318391,0.674188421,28.33333333,28.5,56.83333333,424361000
7/30/2015,111.56,14199340,1102,40,-21,449,17,-5,28407941,1.606726922,0.3294865,0.647489947,33.33333333,30,63.33333333,424361000
7/31/2015,114.31,16249740,1732,132,-60,495,28,-5,28407941,1.606726922,0.3280665,0.675690528,33.33333333,27,60.33333333,426005000
8/3/2015,112.56,10124570,345,45,-23,136,10,0,28650188.67,1.626140252,0.337739,0.875034899,23.33333333,22.5,45.83333333,426005000
8/4/2015,121.15,29546660,855,74,-67,334,11,-2,28892436.33,1.645553582,0.3855235,0.863501633,41.66666667,39,80.66666667,426005000
8/5/2015,123.71,26902730,5610,599,-221,881,95,-25,29134684,1.664966913,0.4268465,0.87374679,53.33333333,54,107.3333333,426005000
8/6/2015,126.45,24659910,4578,482,-218,896,66,-10,29376931.67,1.684380243,0.469616,0.780546807,48.33333333,48,96.33333333,426005000
8/7/2015,123.52,17340440,2760,258,-193,690,15,-11,29619179.33,1.703793573,0.4514095,0.906530989,35,46.5,81.5,426005000
8/10/2015,123.03,13395230,929,76,-20,369,8,-6,29861427,1.723206903,0.41748,1.070848859,33.33333333,33,66.33333333,426005000
8/11/2015,122.74,11560300,1924,106,-112,478,41,-6,30103674.67,1.742620234,0.4278595,1.029765528,36.66666667,33,69.66666667,426005000
8/12/2015,120.51,13825250,2043,96,-102,365,16,-5,30345922.33,1.762033564,0.4386765,0.820998605,33.33333333,30,63.33333333,426005000
8/13/2015,123.73,15227460,1110,87,-45,321,13,-4,30588170,1.781446894,0.4372845,0.798261497,21.66666667,28.5,50.16666667,426005000
8/14/2015,123.39,8652710,2346,174,-158,376,18,-7,30588170,1.781446894,0.4007125,0.784644754,31.66666667,27,58.66666667,426005000
8/17/2015,125.36,9211682,571,35,-10,182,11,0,31125511.1,1.736024108,0.397823,0.91333723,26.66666667,19.5,46.16666667,426005000
8/18/2015,124.05,9365646,1063,83,-46,319,9,-4,31662852.2,1.690601322,0.392484,1.110039182,23.33333333,24,47.33333333,426005000
8/19/2015,122.06,10089710,1450,125,-39,421,18,-2,32200193.3,1.645178535,0.39345,0.948435771,23.33333333,22.5,45.83333333,426005000
8/20/2015,112.49,27898760,1323,105,-100,382,12,-13,32737534.4,1.599755749,0.522331,1.254180343,40,34.5,74.5,426005000
8/21/2015,103.96,33156230,3024,133,-688,563,65,-42,33274875.5,1.554332963,0.6206985,1.170478322,60,61.5,121.5,426005000
8/24/2015,96.88,59798140,1702,45,-167,351,17,-4,33812216.6,1.508910177,0.9156695,1.151657492,88.33333333,115.5,203.8333333,426005000
8/25/2015,101.52,37441020,3285,266,-477,524,22,-33,34349557.7,1.463487391,0.7760145,1.212531641,98.33333333,103.5,201.8333333,426005000
8/26/2015,110.13,36003580,2722,272,-192,470,31,-11,34886898.8,1.418064604,0.683346,0.985449053,71.66666667,63,134.6666667,426005000
8/27/2015,117.66,36904220,3685,315,-141,459,27,-9,35424239.9,1.372641818,0.6126055,1.063371499,70,60,130,426005000
8/28/2015,117.63,20211990,2336,191,-79,560,23,-13,35961581,1.327219032,0.600438,0.982765256,58.33333333,43.5,101.8333333,426005000
8/31/2015,115.03,16963370,2880,53,-181,391,7,-8,35961581,1.327219032,0.603623,1.224566144,45,37.5,82.5,426005000
9/1/2015,105.79,35745230,4547,140,-279,809,12,-5,36550888.33,1.340440338,0.7856795,1.477937644,60,48,108,426005000
9/2/2015,105.44,39732710,4833,111,-618,862,18,-15,37140195.67,1.353661644,0.738801,1.23493206,65,57,122,426005000
9/3/2015,101.06,29291720,4633,167,-351,670,26,-8,37729503,1.36688295,0.7132525,1.013075611,68.33333333,49.5,117.8333333,426005000
9/4/2015,98.79,24175260,3554,203,-460,634,37,-28,38318810.33,1.380104256,0.710278,1.271540251,61.66666667,43.5,105.1666667,426005000
9/8/2015,94.95,43420420,1100,27,-36,321,7,-4,38908117.67,1.393325562,0.726505,0.985725635,65,48,113,426005000
9/9/2015,99.18,35433880,4005,221,-358,763,33,-7,39497425,1.406546868,0.7011485,0.829403587,65,49.5,114.5,426005000
9/10/2015,99.48,21010380,2915,235,-173,1377,22,-5,40086732.33,1.419768174,0.669207,0.867165738,51.66666667,45,96.66666667,426005000
9/11/2015,97.51,17351030,2142,108,-106,552,17,-8,40676039.67,1.43298948,0.670647,0.849406507,30,33,63,426005000
9/14/2015,95.69,15520270,537,18,-56,211,1,-2,41265347,1.446210786,0.681184,0.89151908,41.66666667,24,65.66666667,426005000
9/15/2015,99.16,22536440,1510,39,-259,311,10,-7,41265347,1.446210786,0.650309,0.842423712,43.33333333,34.5,77.83333333,426005000
9/16/2015,104.08,27967180,1903,124,-134,368,7,-4,41285243.5,1.516351952,0.653738,0.825169837,46.66666667,40.5,87.16666667,426005000
9/17/2015,104.21,25768300,1771,143,-60,433,15,-3,41305140,1.586493119,0.6684855,1.004904501,40,31.5,71.5,426005000
9/18/2015,102.62,21650810,2196,101,-90,547,13,-3,41325036.5,1.656634285,0.6685685,0.97242018,48.33333333,31.5,79.83333333,426005000
9/21/2015,100.3,17868590,798,13,-51,672,12,-4,41344933,1.726775452,0.707095,1.161534512,31.66666667,25.5,57.16666667,426005000
9/22/2015,98.47,16694800,1963,74,-332,528,13,-3,41364829.5,1.796916618,0.7159885,1.231305237,28.33333333,24,52.33333333,426005000
9/23/2015,98.07,10252900,2023,92,-463,344,4,-6,41384726,1.867057784,0.725092,1.024939745,26.66666667,21,47.66666667,426005000
9/24/2015,103.76,21210600,1833,36,-79,445,13,-11,41404622.5,1.937198951,0.7977855,0.812427307,41.66666667,28.5,70.16666667,426005000
9/25/2015,102.24,19055380,3493,226,-138,622,24,-11,41424519,2.007340117,0.7769525,0.959601669,38.33333333,36,74.33333333,426005000
9/28/2015,99.47,16971150,897,111,-12,224,13,-1,41444415.5,2.077481284,0.819587,1.038106154,31.66666667,25.5,57.16666667,426005000
9/29/2015,98.35,17392530,1908,116,-69,458,15,-7,41464312,2.14762245,0.8234975,0.943547886,23.33333333,24,47.33333333,426005000
9/30/2015,103.26,16995160,1855,79,-56,719,12,-5,41464312,2.14762245,0.8089125,0.838712335,31.66666667,27,58.66666667,426005000
10/1/2015,105.98,17393750,1684,52,-45,431,12,-5,41577132,2.106110575,0.8297285,0.824144821,26.66666667,21,47.66666667,426005000
10/2/2015,106.11,21492320,1790,95,-63,393,12,-6,41689952,2.0645987,0.8430825,0.762482667,30,34.5,64.5,426005000
10/5/2015,111.25,21136430,548,13,0,182,4,-3,41802772,2.023086825,0.822595,0.803564889,40,21,61,426005000
10/6/2015,108.33,20797800,1461,127,-51,409,24,-5,41915592,1.98157495,0.8217045,1.004161567,30,28.5,58.5,426005000
10/7/2015,108.1,12313850,1222,91,-70,281,4,-2,42028412,1.940063076,0.8195455,1.115216852,36.66666667,22.5,59.16666667,426005000
10/8/2015,114.93,42642850,1040,79,-37,272,10,-6,42141232,1.898551201,0.783407,0.80069718,40,27,67,426005000
10/9/2015,113.33,22417220,6004,1312,-267,771,130,-8,42254052,1.857039326,0.758384,0.738345784,45,34.5,79.5,426005000
10/12/2015,113.45,12602390,874,82,-11,168,9,-1,42366872,1.815527451,0.761613,0.82066914,38.33333333,22.5,60.83333333,426005000
10/13/2015,109.73,17474730,1476,154,-54,362,22,-6,42479692,1.774015576,0.8362585,0.905373627,45,27,72,426005000
10/14/2015,110.23,30842330,2195,159,-97,503,25,-13,42592512,1.732503701,0.782898,0.829126825,113.3333333,43.5,156.8333333,426005000
10/15/2015,101.09,48446610,11758,1302,-3298,1505,143,-65,42592512,1.732503701,0.5204765,0.893664623,106.6666667,72,178.6666667,426005000
10/16/2015,98.99,21301690,4866,421,-1183,997,73,-30,42787110,1.837534587,0.4774845,0.986798548,53.33333333,42,95.33333333,426005000
10/19/2015,101.69,29944840,2012,45,-32,282,2,-3,42981708,1.942565472,0.4700075,0.632791823,38.33333333,24,62.33333333,427388000
10/20/2015,98.99,17311710,3987,189,-85,577,17,-8,43176306,2.047596358,0.48732,0.89838325,35,27,62,427388000
10/21/2015,97.96,13742920,2384,106,-83,490,11,-5,43370904,2.152627244,0.476272,0.74356322,38.33333333,21,59.33333333,427388000
